GPCR	393pos	398bip	398bin	428bip	428bin	439pos	500bip	500bin	507bip	507bin	544bip	544bin	599pos	658bip	658bin	662bip	662bin	674pos	885pos	886pos	887pos	888pos	966pos	967pos	998bip	998bin	IP_Z_6g79	N_TIL	O
FFAR2	0	1.25971	1.49504	1.17502	1.82016	0	0.53855	0.99721	1.06908	0.93475	3.04949	2.13826	1	1.93061	1.20994	3.76323	3.09342	0	0	0	0	0	0	0	1.58504	0.81978	1.56	0	0
GPR55	0	5.84043	5.47149	1.52257	1.38952	0	0.53855	0.99721	0.74614	1.27184	2.22616	1.64351	0	1.93061	1.20994	3.55945	2.70316	0	0	0	0	0	1	1	1.58504	0.81978	1.129	0	0
PTGDR	0	5.84043	5.47149	3.20678	2.62903	1	1.35603	0.9796	2.73314	1.73174	1.92391	2.27318	1	1.93061	1.20994	3.28445	2.73208	1	1	1	1	1	1	1	1.58504	0.81978	2.534	0	0
CYSLTR2	1	1.30784	1.07403	1.52257	1.38952	0	0.53855	0.99721	3.81177	3.4061	2.22616	1.64351	1	1.93061	1.20994	0.86707	1.65376	0	0	0	0	1	1	1	0.43991	1.002	1.39	0	0
PTGER1	0	5.84043	5.47149	1.17502	1.82016	0	1.35603	0.9796	1.06908	0.93475	1.93799	1.86406	1	1.93061	1.20994	3.55945	2.70316	1	1	1	1	1	0	0	1.58504	0.81978	1.47	0	0
PTGER2	0	5.84043	5.47149	2.9236	2.59076	1	1.35603	0.9796	0.74614	1.27184	2.97698	3.19244	1	1.93061	1.20994	2.14945	1.41943	1	1	1	1	1	0	1	1.58504	0.81978	2.387	0	0
P2RY13	0	1.25971	1.49504	1.52257	1.38952	0	1.35603	0.9796	0.74614	1.27184	1.71775	1.81136	1	2.34788	3.09635	0.86707	1.65376	1	0	0	0	0	1	1	1.58504	0.81978	1.682	1	0
KISS1R	1	1.30784	1.07403	1.52257	1.38952	1	0.53855	0.99721	3.63882	3.4018	1.92391	2.27318	0	1.93061	1.20994	2.43348	2.40355	1	1	1	1	1	1	1	0.43991	1.002	1.553	0	0
FPR2	1	1.30784	1.07403	1.52257	1.38952	0	1.35603	0.9796	1.06908	0.93475	1.71775	1.81136	1	1.93061	1.20994	0.86707	1.65376	0	0	0	0	0	1	1	0.43991	1.002	1.109	0	0
MC3R	1	1.30784	1.07403	1.17502	1.82016	1	1.35603	0.9796	0.74614	1.27184	1.93799	1.86406	0	1.58265	2.0247	2.43348	2.40355	1	1	1	1	1	1	1	1.58504	0.81978	2.309	0	0
PTGIR	1	1.25971	1.49504	3.20678	2.62903	1	1.35603	0.9796	2.73314	1.73174	1.92391	2.27318	1	1.93061	1.20994	2.14945	1.41943	1	1	1	1	1	1	1	1.58504	0.81978	2.286	0	0
P2RY2	0	1.25971	1.49504	3.24441	2.80105	0	0.53855	0.99721	1.06908	0.93475	1.92391	2.27318	0	1.93061	1.20994	2.43348	2.40355	1	0	0	0	0	1	1	1.58504	0.81978	1.086	0	0
P2RY6	0	1.30784	1.07403	1.52257	1.38952	0	0.53855	0.99721	0.74614	1.27184	1.71775	1.81136	0	1.93061	1.20994	2.47531	2.42666	0	0	0	1	1	1	1	1.58504	0.81978	1.61	0	0
ADRA1A	1	1.30784	1.07403	1.52257	1.38952	1	0.53855	0.99721	1.06908	0.93475	2.22616	1.64351	0	3.31003	2.24872	2.14945	1.41943	1	1	1	1	1	0	0	0.43991	1.002	0.236	1	0
NMUR1	1	2.52446	3.41633	1.17502	1.82016	1	0.53855	0.99721	1.06908	0.93475	1.71775	1.81136	1	1.58265	2.0247	0.86707	1.65376	1	1	1	1	1	1	1	0.43991	1.002	0.879	0	0
ADRA1B	1	1.30784	1.07403	1.52257	1.38952	1	0.53855	0.99721	1.06908	0.93475	2.22616	1.64351	0	3.31003	2.24872	2.14945	1.41943	1	1	1	1	1	0	0	0.43991	1.002	0.813	4	0
ADRA1D	1	1.30784	1.07403	1.52257	1.38952	1	0.53855	0.99721	1.06908	0.93475	1.93799	1.86406	0	3.31003	2.24872	2.14945	1.41943	1	1	1	1	1	0	0	0.43991	1.002	0.947	0	0
AVPR2	0	1.25971	1.49504	3.24441	2.80105	1	3.17674	2.58618	0.74614	1.27184	1.71775	1.81136	1	1.93061	1.20994	0.86707	1.65376	1	1	1	1	1	0	0	7.58179	7.35899	0.714	0	0
ADRB1	1	1.30784	1.07403	1.17502	1.82016	1	1.35603	0.9796	0.74614	1.27184	2.57868	2.58261	1	2.28859	2.04519	2.14945	1.41943	1	1	1	1	1	0	0	0.43991	1.002	0.88	1	0
ADRB2	1	1.30784	1.07403	1.17502	1.82016	1	1.35603	0.9796	0.74614	1.27184	2.57868	2.58261	1	2.28859	2.04519	2.14945	1.41943	1	1	1	1	1	0	0	0.43991	1.002	0.913	1	0
ADRB3	1	1.30784	1.07403	1.17502	1.82016	1	1.35603	0.9796	1.06908	0.93475	2.57868	2.58261	1	2.28859	2.04519	2.14945	1.41943	1	1	1	1	1	0	0	0.43991	1.002	0.974	0	0
GPR132	0	3.57098	2.84196	5.60562	3.32512	0	0.53855	0.99721	1.06908	0.93475	1.93799	1.86406	0	2.53776	2.93996	0.86707	1.65376	0	0	0	0	0	1	1	1.58504	0.81978	1.057	0	0
GPR174	1	1.25971	1.49504	1.52257	1.38952	0	0.53855	0.99721	2.73314	1.73174	1.93799	1.86406	1	1.93061	1.20994	2.6016	2.67282	0	0	0	0	0	1	1	1.58504	0.81978	1.618	0	0
