GPCR	395bip	395bin	398bip	398bin	400bip	400bin	425bip	425bin	493bip	493bin	497bip	497bin	501bip	501bin	635bip	635bin	654bip	654bin	655bip	655bin	657bip	657bin	966pos	967pos	997bip	997bin	TILL	G_TIL	N_TIL	R_TIL	A_CTL	O
PTGER3	2.31561	2.19242	2.49796	2.14072	2.28219	2.21309	6.06094	3.74251	2.42492	2.06646	2.87401	3.08436	1.75195	1.31697	2.28038	2.52075	1.43161	1.7739	2.01974	2.41467	3.07325	3.25922	1	1	1.59235	1.21382	20	1	0	3	1	0
CNR1	1.88429	1.84258	1.02279	1.59683	1.60086	1.67241	1.10511	1.01039	1.13356	1.62839	2.84373	2.64658	1.61845	1.90761	2.9224	2.8745	3.75509	3.38106	1.76794	1.46588	3.40868	2.94979	0	0	1.40593	1.786	36	2	0	4	11	0
CNR2	2.19422	1.70175	1.02279	1.59683	2.28219	2.21309	1.10511	1.01039	1.13356	1.62839	1.70044	1.90843	1.61845	1.90761	1.99755	1.5333	4.48359	3.92657	1.76794	1.46588	3.40868	2.94979	0	0	1.40593	1.786	23	2	0	3	6	0
P2RY14	5.04795	5.18695	5.50857	5.87148	5.09986	5.27159	0.93905	2.10849	1.20509	1.18123	3.42611	3.21147	2.12908	2.6383	3.8309	3.98403	1.51537	1.77224	2.23242	2.18879	1.69866	1.62879	1	1	1.59235	1.21382	14	0	1	1	1	0
S1PR2	1.88429	1.84258	1.02279	1.59683	1.85998	1.50689	1.10511	1.01039	1.13356	1.62839	1.70044	1.90843	1.61845	1.90761	1.92053	1.83223	2.88389	2.27833	1.76794	1.46588	2.36356	2.43643	0	1	1.59235	1.21382	25	0	1	1	0	0
S1PR1	1.87632	2.05345	1.02279	1.59683	3.08456	2.79128	1.10511	1.01039	1.13356	1.62839	1.70044	1.90843	1.61845	1.90761	1.99755	1.5333	3.46681	3.0853	1.76794	1.46588	1.83815	1.97914	0	1	3.63871	3.3336	22	0	1	6	3	0
P2RY10	2.36911	2.35256	1.02279	1.59683	1.60086	1.67241	1.10511	1.01039	1.20509	1.18123	1.77669	1.84741	1.86719	1.45269	2.81456	2.69182	1.49195	1.35423	1.76794	1.46588	3.34013	4.68948	1	1	1.59235	1.21382	12	1	0	1	1	0
P2RY12	5.04795	5.18695	5.50857	5.87148	5.09986	5.27159	1.10511	1.01039	1.20509	1.18123	3.42611	3.21147	1.61845	1.90761	2.97334	3.69972	1.49195	1.35423	2.67881	2.06082	1.69866	1.62879	1	1	1.59235	1.21382	14	2	0	3	1	0
OXGR1	2.31561	2.19242	1.51175	1.17966	3.08456	2.79128	4.4554	2.63694	1.20509	1.18123	1.77669	1.84741	1.61845	1.90761	1.99755	1.5333	1.49195	1.35423	2.67881	2.06082	2.36698	1.60904	1	1	4.66706	4.08539	10	1	0	0	2	0
GPR84	2.19422	1.70175	1.02279	1.59683	1.85998	1.50689	1.72923	1.75265	1.20509	1.18123	2.35002	1.67523	1.86719	1.45269	2.81456	2.69182	3.46681	3.0853	2.67881	2.06082	1.83815	1.97914	0	1	1.50393	1.90572	108	7	2	8	3	0
TBXA2R	1.88429	1.84258	1.02279	1.59683	1.60086	1.67241	1.10511	1.01039	2.42492	2.06646	2.51817	2.56818	3.27535	3.55244	2.4437	2.72715	1.51537	1.77224	2.97408	3.38743	2.36698	1.60904	1	1	1.59235	1.21382	17	1	0	2	1	0
OPRM1	3.523	3.51206	2.49796	2.14072	1.60086	1.67241	0.93905	2.10849	1.20509	1.18123	2.35002	1.67523	1.75195	1.31697	2.17325	1.75719	1.49195	1.35423	1.76794	1.46588	1.69866	1.62879	1	1	1.59235	1.21382	15	1	1	2	4	0
MC5R	1.87632	2.05345	1.51175	1.17966	1.85998	1.50689	1.10511	1.01039	3.53765	3.21293	1.70044	1.90843	1.75195	1.31697	2.17325	1.75719	1.51537	1.77224	2.23242	2.18879	3.07325	3.25922	1	1	2.86709	3.04627	20	1	0	4	2	0
SSTR1	2.36911	2.35256	1.51175	1.17966	1.60086	1.67241	0.93905	2.10849	1.20509	1.18123	1.77669	1.84741	1.75195	1.31697	1.99755	1.5333	2.88389	2.27833	1.76794	1.46588	2.36698	1.60904	0	0	2.4282	2.69852	15	1	0	3	5	0
ADRB1	2.19422	1.70175	1.51175	1.17966	1.85998	1.50689	1.10511	1.01039	1.20509	1.18123	2.35002	1.67523	1.86719	1.45269	2.17325	1.75719	1.49195	1.35423	1.48274	1.54807	2.13803	2.51296	0	0	3.18172	2.96574	67	5	1	9	16	0
ADRB2	2.19422	1.70175	1.51175	1.17966	1.85998	1.50689	1.10511	1.01039	1.20509	1.18123	2.35002	1.67523	1.75195	1.31697	2.17325	1.75719	1.49195	1.35423	1.48274	1.54807	2.13803	2.51296	0	0	3.18172	2.96574	41	4	1	5	2	0
ADRB3	1.88429	1.84258	1.51175	1.17966	1.85998	1.50689	1.10511	1.01039	1.20509	1.18123	2.35002	1.67523	1.75195	1.31697	1.99755	1.5333	1.43161	1.7739	1.48274	1.54807	2.13803	2.51296	0	0	3.18172	2.96574	55	5	0	9	9	0
SSTR5	2.51184	2.71945	1.51175	1.17966	1.60086	1.67241	0.93905	2.10849	1.13356	1.62839	1.77669	1.84741	1.75195	1.31697	2.17325	1.75719	1.43161	1.7739	1.76794	1.46588	2.36698	1.60904	1	1	2.4282	2.69852	14	2	0	5	8	0
SSTR4	2.31561	2.19242	1.51175	1.17966	1.60086	1.67241	0.93905	2.10849	1.13356	1.62839	1.77669	1.84741	1.75195	1.31697	1.92053	1.83223	2.88389	2.27833	1.76794	1.46588	2.36698	1.60904	0	0	2.4282	2.69852	15	1	0	5	6	0
OXTR	2.31561	2.19242	1.02279	1.59683	1.85998	1.50689	1.10511	1.01039	2.59828	2.85149	1.70044	1.90843	1.86719	1.45269	2.81456	2.69182	1.43161	1.7739	2.23242	2.18879	2.36356	2.43643	0	0	4.72646	3.85506	42	4	1	3	3	0
F2RL3	2.63692	2.66127	1.02279	1.59683	1.60086	1.67241	1.72923	1.75265	1.13356	1.62839	2.51817	2.56818	1.86719	1.45269	4.38975	4.20939	2.88389	2.27833	1.48274	1.54807	2.36698	1.60904	1	1	1.40593	1.786	6	1	0	2	5	0
MLNR	2.19422	1.70175	2.22018	1.94715	2.28219	2.21309	0.93905	2.10849	2.42492	2.06646	1.77669	1.84741	1.75195	1.31697	1.99755	1.5333	3.31311	3.43685	2.23242	2.18879	1.83815	1.97914	1	1	1.50393	1.90572	18	3	0	5	7	0
LPAR6	3.35562	3.87384	1.51175	1.17966	2.229	2.17983	0.93905	2.10849	1.20509	1.18123	1.77669	1.84741	1.75195	1.31697	2.17325	1.75719	1.51537	1.77224	3.86056	4.30169	2.85092	2.92488	1	1	3.18172	2.96574	12	0	1	1	3	0
LPAR5	2.31561	2.19242	1.02279	1.59683	1.60086	1.67241	0.93905	2.10849	4.73073	4.11085	3.31144	3.45455	1.75195	1.31697	1.99755	1.5333	2.88389	2.27833	2.67881	2.06082	3.40868	2.94979	1	1	1.59235	1.21382	10	0	0	2	11	0
GPR55	5.04795	5.18695	5.50857	5.87148	5.09986	5.27159	0.93905	2.10849	1.13356	1.62839	2.35002	1.67523	3.53032	3.55373	2.28038	2.52075	1.49195	1.35423	1.48274	1.54807	2.13803	2.51296	1	1	1.59235	1.21382	11	1	0	2	1	0
OPRL1	3.35562	3.87384	2.49796	2.14072	1.60086	1.67241	0.93905	2.10849	2.59828	2.85149	1.77669	1.84741	1.75195	1.31697	2.17325	1.75719	1.43161	1.7739	1.76794	1.46588	1.69866	1.62879	1	1	1.59235	1.21382	15	2	1	4	8	0
OPRD1	2.19422	1.70175	2.49796	2.14072	4.14229	3.81211	0.93905	2.10849	1.20509	1.18123	1.77669	1.84741	1.75195	1.31697	2.17325	1.75719	1.49195	1.35423	1.76794	1.46588	1.69866	1.62879	1	1	1.59235	1.21382	15	1	0	3	8	0
KISS1R	2.36911	2.35256	1.51175	1.17966	1.60086	1.67241	0.93905	2.10849	4.73073	4.11085	1.77669	1.84741	1.75195	1.31697	1.99755	1.5333	2.88389	2.27833	2.01974	2.41467	2.36356	2.43643	1	1	1.59235	1.21382	26	3	0	3	12	0
CHRM4	1.87632	2.05345	2.49796	2.14072	2.24722	2.1644	1.10511	1.01039	1.13356	1.62839	1.70044	1.90843	2.12908	2.6383	2.28038	2.52075	1.49195	1.35423	1.48274	1.54807	1.69866	1.62879	0	0	1.50393	1.90572	172	6	7	15	3	0
CHRM2	1.87632	2.05345	2.49796	2.14072	2.24722	2.1644	1.10511	1.01039	1.13356	1.62839	1.70044	1.90843	2.12908	2.6383	2.28038	2.52075	1.49195	1.35423	1.48274	1.54807	1.69866	1.62879	0	0	1.50393	1.90572	168	9	15	7	3	0
CHRM1	1.88429	1.84258	1.02279	1.59683	2.24722	2.1644	1.10511	1.01039	1.13356	1.62839	1.70044	1.90843	2.12908	2.6383	2.28038	2.52075	1.43161	1.7739	1.48274	1.54807	2.85092	2.92488	0	0	1.50393	1.90572	144	15	2	13	2	0
PTGIR	2.63692	2.66127	1.02279	1.59683	2.229	2.17983	1.72923	1.75265	3.53765	3.21293	2.84373	2.64658	1.75195	1.31697	2.4437	2.72715	2.88389	2.27833	1.76794	1.46588	2.36698	1.60904	1	1	1.59235	1.21382	23	3	0	5	10	0
OPRK1	2.36911	2.35256	2.49796	2.14072	1.60086	1.67241	0.93905	2.10849	1.20509	1.18123	1.77669	1.84741	1.75195	1.31697	2.17325	1.75719	1.49195	1.35423	1.76794	1.46588	1.69866	1.62879	1	1	1.59235	1.21382	15	1	1	3	2	0
GRPR	1.87632	2.05345	1.51175	1.17966	2.229	2.17983	1.10511	1.01039	1.13356	1.62839	1.77669	1.84741	2.90343	2.74673	2.9224	2.8745	1.49195	1.35423	1.76794	1.46588	1.69866	1.62879	1	1	1.40593	1.786	21	1	2	0	2	0
FFAR1	2.19422	1.70175	1.51175	1.17966	4.14229	3.81211	0.93905	2.10849	4.698	3.99153	2.51817	2.56818	2.90343	2.74673	2.28038	2.52075	1.49195	1.35423	2.01974	2.41467	2.13803	2.51296	0	0	5.47466	5.21044	9	1	0	3	3	0
FFAR4	2.19422	1.70175	1.02279	1.59683	2.28219	2.21309	1.72923	1.75265	1.20509	1.18123	2.51817	2.56818	1.86719	1.45269	1.92053	1.83223	1.43161	1.7739	1.76794	1.46588	1.83815	1.97914	1	1	1.59235	1.21382	24	0	0	3	4	0
NMUR1	2.63692	2.66127	3.36635	2.378	1.60086	1.67241	0.93905	2.10849	1.13356	1.62839	1.77669	1.84741	1.75195	1.31697	4.2642	4.17232	1.49195	1.35423	1.48274	1.54807	1.69866	1.62879	1	1	2.4282	2.69852	33	3	0	8	4	0
DRD4	2.36911	2.35256	3.36635	2.378	2.24722	2.1644	1.10511	1.01039	1.20509	1.18123	2.35002	1.67523	1.75195	1.31697	1.92053	1.83223	1.51537	1.77224	1.48274	1.54807	2.36698	1.60904	0	0	1.59235	1.21382	169	19	1	16	3	0
DRD5	2.19422	1.70175	3.36635	2.378	1.85998	1.50689	1.10511	1.01039	1.20509	1.18123	2.35002	1.67523	1.75195	1.31697	2.17325	1.75719	1.49195	1.35423	1.48274	1.54807	1.69866	1.62879	1	1	1.59235	1.21382	38	0	0	5	8	0
DRD2	2.19422	1.70175	3.36635	2.378	1.85998	1.50689	1.72923	1.75265	1.20509	1.18123	2.35002	1.67523	1.61845	1.90761	1.92053	1.83223	1.43161	1.7739	2.01974	2.41467	2.36698	1.60904	0	0	1.40593	1.786	151	5	6	19	1	0
DRD3	2.63692	2.66127	3.36635	2.378	1.85998	1.50689	1.72923	1.75265	1.20509	1.18123	2.35002	1.67523	1.61845	1.90761	2.17325	1.75719	1.43161	1.7739	2.01974	2.41467	2.36698	1.60904	0	0	1.59235	1.21382	108	9	4	14	1	0
DRD1	2.51184	2.71945	3.36635	2.378	1.85998	1.50689	1.10511	1.01039	1.20509	1.18123	2.35002	1.67523	1.75195	1.31697	2.17325	1.75719	1.49195	1.35423	1.48274	1.54807	1.69866	1.62879	1	1	1.59235	1.21382	45	2	2	4	12	0
PRLHR	3.35562	3.87384	2.22018	1.94715	1.60086	1.67241	1.72923	1.75265	1.13356	1.62839	1.77669	1.84741	1.75195	1.31697	2.89759	4.71506	1.43161	1.7739	1.76794	1.46588	2.36698	1.60904	1	1	4.31706	3.33953	20	1	1	4	3	0
HTR1D	2.31561	2.19242	1.02279	1.59683	3.08456	2.79128	1.72923	1.75265	1.20509	1.18123	2.35002	1.67523	1.86719	1.45269	2.17325	1.75719	1.51537	1.77224	2.23242	2.18879	1.83815	1.97914	0	1	1.50393	1.90572	71	5	4	6	2	0
HTR1E	1.88429	1.84258	1.51175	1.17966	1.85998	1.50689	1.72923	1.75265	1.20509	1.18123	2.35002	1.67523	1.86719	1.45269	2.17325	1.75719	1.51537	1.77224	1.76794	1.46588	1.83815	1.97914	0	0	1.50393	1.90572	76	2	3	6	1	0
HTR1F	2.36911	2.35256	1.51175	1.17966	1.85998	1.50689	1.72923	1.75265	1.20509	1.18123	2.87401	3.08436	1.86719	1.45269	2.17325	1.75719	1.51537	1.77224	1.76794	1.46588	1.83815	1.97914	0	0	1.50393	1.90572	79	3	1	7	1	0
HTR1A	2.31561	2.19242	2.22018	1.94715	1.85998	1.50689	1.72923	1.75265	1.20509	1.18123	2.35002	1.67523	1.86719	1.45269	2.17325	1.75719	1.51537	1.77224	1.48274	1.54807	1.69866	1.62879	0	1	1.59235	1.21382	117	12	6	12	2	0
HTR1B	2.31561	2.19242	1.51175	1.17966	3.08456	2.79128	1.72923	1.75265	1.20509	1.18123	2.35002	1.67523	1.86719	1.45269	1.92053	1.83223	1.51537	1.77224	2.23242	2.18879	2.36356	2.43643	0	1	1.50393	1.90572	73	3	3	8	1	0
