GPCR	401bip	401bin	428bip	428bin	439pos	507bip	507bin	599pos	640bip	640bin	655bip	655bin	674pos	886pos	920bip	920bin	925bip	925bin	932bip	932bin	967pos	1000bip	1000bin	V_CTL	O
FFAR3	1.87635	2.09126	1.39994	1.50474	0	1.14033	0.90283	1	1.71172	2.05179	2.45039	1.89548	0	0	1.43762	1.44671	1.53036	1.00343	1.75052	1.62316	1	2.4153	2.47763	1	0
FFAR1	3.0223	3.20886	1.39994	1.50474	0	4.25832	3.26768	1	2.06254	1.6982	2.45039	1.89548	0	0	1.43762	1.44671	1.37604	1.4109	2.78085	1.6701	0	5.47651	5.13416	4	0
P2RY6	1.36205	1.51664	1.39994	1.50474	0	0.70504	1.25879	0	2.2162	2.28997	2.14505	2.38356	0	0	3.01459	2.64061	1.52296	1.64069	1.24404	1.85439	1	1.18283	1.61808	0	0
P2RY4	1.87635	2.09126	3.52435	2.78984	0	0.70504	1.25879	0	3.69616	2.80031	2.45039	1.89548	0	0	1.43762	1.44671	1.53036	1.00343	1.24404	1.85439	1	2.01105	1.53619	1	0
MTNR1A	1.48185	1.21398	1.10964	1.61401	1	0.70504	1.25879	0	2.15094	2.35421	2.51077	1.71134	0	1	3.15338	3.10564	1.52296	1.64069	3.08815	2.61202	1	1.18283	1.61808	9	0
DRD4	1.48185	1.21398	1.10964	1.61401	1	1.14033	0.90283	0	3.56816	3.64901	1.35689	1.8432	0	1	0.99279	1.90923	1.37604	1.4109	1.75052	1.62316	0	2.01105	1.53619	2	0
DRD2	1.48185	1.21398	1.10964	1.61401	1	1.14033	0.90283	0	1.71172	2.05179	2.45039	1.89548	1	1	1.43762	1.44671	1.52296	1.64069	1.24404	1.85439	0	1.18283	1.61808	0	0
DRD3	1.48185	1.21398	1.10964	1.61401	1	1.14033	0.90283	0	1.71172	2.05179	2.45039	1.89548	1	1	1.43762	1.44671	1.53036	1.00343	1.84886	2.04214	0	2.01105	1.53619	0	0
SSTR1	1.36205	1.51664	1.39994	1.50474	0	1.14033	0.90283	1	3.69616	2.80031	1.61226	1.26761	0	1	0.99279	1.90923	1.52296	1.64069	1.75052	1.62316	0	1.18283	1.61808	3	0
GALR1	1.90028	1.64452	1.39994	1.50474	1	0.70504	1.25879	1	2.15094	2.35421	1.61226	1.26761	0	0	0.99279	1.90923	1.52296	1.64069	1.24404	1.85439	1	1.18283	1.61808	2	0
ADRB3	1.36205	1.51664	1.10964	1.61401	1	1.14033	0.90283	1	1.71172	2.05179	1.35689	1.8432	1	1	2.16168	1.81508	1.37604	1.4109	1.84886	2.04214	0	1.48781	2.12137	2	0
SSTR5	1.48185	1.21398	1.39994	1.50474	0	1.14033	0.90283	0	2.06254	1.6982	1.61226	1.26761	0	0	0.99279	1.90923	4.28057	4.52462	3.34855	3.1111	1	2.01105	1.53619	1	0
SSTR4	1.36205	1.51664	1.39994	1.50474	0	1.14033	0.90283	1	2.06254	1.6982	1.61226	1.26761	0	1	0.99279	1.90923	1.37604	1.4109	1.75052	1.62316	0	1.18283	1.61808	1	0
NPBWR1	1.90028	1.64452	1.39994	1.50474	0	1.14033	0.90283	0	2.06254	1.6982	1.61226	1.26761	0	1	1.43762	1.44671	1.37604	1.4109	1.84886	2.04214	1	2.4153	2.47763	0	0
HTR1E	1.36205	1.51664	1.10964	1.61401	1	0.70504	1.25879	1	3.02833	2.67957	1.61226	1.26761	1	1	1.43762	1.44671	1.37604	1.4109	1.24404	1.85439	0	1.48781	2.12137	0	0
HTR1F	1.36205	1.51664	1.10964	1.61401	1	0.70504	1.25879	0	3.02833	2.67957	1.61226	1.26761	1	1	1.43762	1.44671	1.52296	1.64069	1.75052	1.62316	0	1.48781	2.12137	1	0
GPR174	1.87635	2.09126	1.39994	1.50474	0	2.33229	2.29197	1	2.2162	2.28997	2.51077	1.71134	0	0	3.01459	2.64061	1.52296	1.64069	3.08815	2.61202	1	2.01105	1.53619	1	0
P2RY1	1.87635	2.09126	1.39994	1.50474	0	1.14033	0.90283	1	1.83358	2.41664	1.61226	1.26761	0	0	1.43762	1.44671	1.53036	1.00343	1.75052	1.62316	1	1.18283	1.61808	0	0
LPAR5	1.87635	2.09126	1.39994	1.50474	0	0.70504	1.25879	1	2.06254	1.6982	2.51077	1.71134	0	0	1.43762	1.44671	1.37604	1.4109	3.21966	3.27767	1	1.48781	2.12137	1	0
