GPCR	398bip	398bin	401bip	401bin	493bip	493bin	675pos	910bip	910bin	917bip	917bin	919bip	919bin	925bip	925bin	966pos	967pos	CTLL	G_TIL	C_CTL	D_CTL	G_CTL	L_CTL	N_CTL	P_CTL	R_CTL	S_CTL	O
AVPR2	1.19321	1.48552	2.16758	1.49726	3.75151	3.11908	1	2.27439	1.88375	1.97671	1.35721	1.40116	1.44361	1.30001	1.47202	0	0	72	7	4	2	3	11	2	6	3	16	0
DRD1	2.30951	3.60256	1.29138	1.72328	1.05717	1.51545	1	1.9392	1.42266	2.68934	2.03474	1.40116	1.44361	3.66651	4.21579	1	1	115	2	3	5	6	11	8	7	4	11	0
SSTR1	1.60173	0.8871	1.33063	1.36457	1.05717	1.51545	0	2.06187	2.59461	3.01505	3.24368	1.3794	1.47049	1.62059	1.41521	0	0	68	1	2	4	4	6	4	2	5	7	0
GALR2	1.19321	1.48552	2.16758	1.49726	3.75151	3.11908	1	2.06187	2.59461	1.97671	1.35721	1.3794	1.47049	1.30001	1.47202	1	1	95	2	5	3	12	9	0	8	8	10	0
ADRB2	1.60173	0.8871	1.33063	1.36457	1.05717	1.51545	1	1.9392	1.42266	2.57503	2.60577	1.40116	1.44361	1.30001	1.47202	0	0	87	4	4	6	9	9	7	3	5	10	0
ADRB3	1.60173	0.8871	1.33063	1.36457	1.05717	1.51545	1	1.9392	1.42266	2.57503	2.60577	1.40116	1.44361	1.30001	1.47202	0	0	62	5	5	2	4	6	0	9	11	7	0
OPRD1	2.11517	2.86488	1.33063	1.36457	1.05717	1.51545	0	2.06187	2.59461	1.97671	1.35721	1.3794	1.47049	1.71298	1.09613	1	1	54	1	4	3	5	2	1	5	8	4	0
NPBWR1	1.19321	1.48552	2.16758	1.49726	2.51667	1.88842	0	2.06187	2.59461	2.19672	2.38179	1.40116	1.44361	1.30001	1.47202	1	1	21	0	1	1	0	3	1	0	4	1	0
OXTR	1.19321	1.48552	2.16758	1.49726	2.82789	2.88505	1	2.27439	1.88375	2.0458	2.93228	1.40116	1.44361	1.71298	1.09613	0	0	60	4	3	0	3	7	1	1	5	15	0
AGTR1	2.31631	1.79218	1.33063	1.36457	1.20455	1.48964	0	3.27547	3.53133	3.01505	3.24368	1.40116	1.44361	3.14373	3.67378	1	1	57	0	1	1	2	6	2	5	2	9	0
MLNR	2.31631	1.79218	1.33063	1.36457	2.51667	1.88842	0	2.27439	1.88375	1.97671	1.35721	1.3794	1.47049	1.62059	1.41521	1	1	57	3	0	3	7	4	2	1	6	4	0
GPR174	1.19321	1.48552	1.96836	1.7342	1.05717	1.51545	0	1.9392	1.42266	1.97671	1.35721	4.25802	4.20613	1.62059	1.41521	1	1	41	1	1	2	0	4	2	1	4	6	0
