GPCR	428bip	428bin	468bip	468bin	497bip	497bin	532bip	532bin	599pos	604bip	604bin	655bip	655bin	908bip	908bin	919bip	919bin	920bip	920bin	967neg	CTLL	C_CTL	G_CTL	L_CTL	S_CTL	V_CTL	Y_CTL	O
MTNR1B	1.18025	1.50891	1.35066	1.65032	1.79268	1.93528	1.05473	1.64367	0	2.79766	2.82706	2.74246	1.70824	3.76668	2.87863	1.55621	1.22798	3.14987	3.05748	1	54	1	4	7	3	1	1	0
FFAR3	1.50477	1.43785	1.35066	1.65032	2.61094	2.48168	2.72217	2.65955	1	3.03433	2.8364	2.28041	2.13219	1.82716	1.82353	3.12453	2.68707	1.58519	1.30412	1	70	3	9	5	8	1	1	0
MTNR1A	1.18025	1.50891	1.35066	1.65032	1.79268	1.93528	2.24129	2.36599	0	2.79766	2.82706	2.74246	1.70824	4.58203	4.02782	1.55621	1.22798	3.14987	3.05748	1	55	1	1	4	5	9	1	0
P2RY6	1.50477	1.43785	1.37319	1.33249	1.79268	1.93528	2.69795	2.71861	0	2.22193	2.71027	2.1546	2.39637	1.39433	1.85051	1.55621	1.22798	3.22592	2.35523	1	28	0	1	3	0	0	1	0
P2RY4	3.16746	3.22038	1.37319	1.33249	1.79268	1.93528	2.69795	2.71861	0	3.03433	2.8364	2.28041	2.13219	3.76668	2.87863	1.55621	1.22798	1.58519	1.30412	1	59	3	4	8	8	1	1	0
APLNR	1.18025	1.50891	1.37319	1.33249	1.79268	1.93528	2.97274	3.17147	1	3.03433	2.8364	1.3286	1.87835	1.50658	2.08289	1.37131	2.46909	1.17895	1.76599	1	71	4	9	2	13	2	2	0
P2RY1	1.50477	1.43785	1.37319	1.33249	1.79268	1.93528	2.72217	2.65955	1	2.68732	2.73766	1.65355	1.35503	3.76668	2.87863	1.55621	1.22798	1.58519	1.30412	1	49	0	2	6	6	0	0	0
DRD4	1.18025	1.50891	1.35066	1.65032	1.91366	1.87816	1.05473	1.64367	0	2.07513	2.519	1.3286	1.87835	1.39433	1.85051	1.55621	1.22798	1.17895	1.76599	0	19	2	0	1	0	2	0	0
DRD2	1.18025	1.50891	1.37319	1.33249	1.91366	1.87816	1.05473	1.64367	0	2.07513	2.519	2.28041	2.13219	1.39433	1.85051	1.55621	1.22798	1.58519	1.30412	0	17	1	0	2	0	0	0	0
DRD3	1.18025	1.50891	1.37319	1.33249	1.91366	1.87816	1.05473	1.64367	0	2.07513	2.519	2.28041	2.13219	1.39433	1.85051	1.55621	1.22798	1.58519	1.30412	0	17	1	0	2	1	0	0	0
GPR174	1.50477	1.43785	1.37319	1.33249	2.45646	2.25674	2.72217	2.65955	1	2.22193	2.71027	2.74246	1.70824	1.39433	1.85051	4.7075	3.80409	3.22592	2.35523	1	41	1	0	4	6	1	1	0
GALR3	1.50477	1.43785	1.37319	1.33249	2.61094	2.48168	2.24129	2.36599	0	2.9005	2.62017	2.74246	1.70824	1.39433	1.85051	1.55621	1.22798	3.22592	2.35523	1	77	2	13	5	4	2	0	0
ADRB1	1.18025	1.50891	2.97743	3.58468	1.91366	1.87816	2.24129	2.36599	1	2.07513	2.519	1.3286	1.87835	1.39433	1.85051	1.45514	1.50524	1.65533	2.74505	0	100	6	9	6	9	3	0	0
GALR1	1.50477	1.43785	1.35066	1.65032	2.61094	2.48168	2.24129	2.36599	1	2.22193	2.71027	1.65355	1.35503	2.40678	2.48868	1.55621	1.22798	1.17895	1.76599	1	46	2	0	2	6	2	1	0
ADRB3	1.18025	1.50891	1.35066	1.65032	1.91366	1.87816	2.24129	2.36599	1	2.7342	2.97015	1.3286	1.87835	1.39433	1.85051	1.45514	1.50524	1.65533	2.74505	0	62	5	4	6	7	2	0	0
SSTR5	1.50477	1.43785	1.37319	1.33249	1.79268	1.93528	2.72217	2.65955	0	2.67633	1.60631	1.65355	1.35503	1.82716	1.82353	1.55621	1.22798	1.17895	1.76599	1	60	1	4	5	4	1	0	0
OPRD1	1.50477	1.43785	1.37319	1.33249	1.79268	1.93528	4.24251	3.31359	0	2.55737	2.60109	1.65355	1.35503	3.05642	2.31379	1.55621	1.22798	1.17895	1.76599	1	54	4	5	2	4	1	0	0
NPBWR1	1.50477	1.43785	1.37319	1.33249	1.79268	1.93528	2.72217	2.65955	0	2.55737	2.60109	1.65355	1.35503	1.82716	1.82353	1.45514	1.50524	1.58519	1.30412	1	21	1	0	3	1	0	0	0
PTGER4	3.23946	2.86342	3.6929	3.05704	1.91366	1.87816	1.96708	1.4235	1	2.41926	2.31344	2.28041	2.13219	3.23174	2.93295	3.12453	2.68707	4.00992	2.92068	1	159	4	16	21	28	5	0	0
HTR1D	1.18025	1.50891	1.37319	1.33249	1.91366	1.87816	1.05473	1.64367	0	2.67633	1.60631	2.1546	2.39637	1.39433	1.85051	1.45514	1.50524	1.58519	1.30412	1	21	0	0	0	1	2	0	0
F2RL2	1.50477	1.43785	1.37319	1.33249	2.61094	2.48168	2.69795	2.71861	1	2.07513	2.519	1.65355	1.35503	4.14175	3.39002	1.45514	1.50524	1.58519	1.30412	1	16	0	0	2	2	0	1	0
HTR1F	1.18025	1.50891	3.69789	3.44377	3.03535	3.05524	1.05473	1.64367	0	2.79766	2.82706	1.65355	1.35503	1.39433	1.85051	1.45514	1.50524	1.58519	1.30412	0	19	2	0	1	0	1	0	0
LPAR6	1.50477	1.43785	1.37319	1.33249	1.79268	1.93528	2.69795	2.71861	1	2.9005	2.62017	4.20376	4.19465	1.82716	1.82353	4.46869	4.16881	1.58519	1.30412	1	53	0	1	2	7	2	1	0
AVPR2	3.16746	3.22038	3.6929	3.05704	1.71296	1.90597	2.24129	2.36599	1	2.55737	2.60109	1.65355	1.35503	2.40678	2.48868	1.45514	1.50524	1.17895	1.76599	0	72	4	3	11	16	2	1	0
HTR1B	1.18025	1.50891	1.35066	1.65032	1.91366	1.87816	1.05473	1.64367	0	2.67633	1.60631	2.1546	2.39637	1.39433	1.85051	1.45514	1.50524	1.58519	1.30412	1	21	1	0	1	2	0	0	0
LPAR5	1.50477	1.43785	1.37319	1.33249	3.37367	3.41088	2.69795	2.71861	1	2.67633	1.60631	2.74246	1.70824	2.40678	2.48868	4.67524	3.78587	1.58519	1.30412	1	75	1	5	7	11	1	1	0
