GPCR	393neg	426bip	426bin	493bip	493bin	497bip	497bin	535bip	535bin	654bip	654bin	656bip	656bin	675neg	925bip	925bin	928bip	928bin	966neg	967neg	K_TIL	L_CTL	S_CTL	V_CTL	Y_CTL	O
GALR1	1	1.20417	1.32235	1.10324	1.08184	2.59061	2.56332	1.73829	1.67939	1.42697	1.73632	3.52253	2.90744	0	2.05672	1.18842	1.42114	1.53942	0	1	5	2	6	2	1	0
P2RY13	0	1.87146	1.07696	1.10324	1.08184	3.62427	3.15433	1.73829	1.67939	1.42697	1.73632	1.25028	2.0304	1	1.24836	1.56243	2.2302	2.22439	1	1	4	6	4	0	1	0
SSTR5	1	1.20417	1.32235	1.89624	1.07335	1.9768	1.67701	1.68081	2.15101	1.78609	1.70001	3.52253	2.90744	0	4.61825	4.17869	1.42114	1.53942	1	1	0	5	4	1	0	0
OPRD1	1	1.20417	1.32235	1.10324	1.08184	1.9768	1.67701	1.73829	1.67939	1.53461	1.46916	2.79252	2.06592	0	1.24836	1.56243	2.2302	2.22439	1	1	2	2	4	1	0	0
NPBWR1	1	1.20417	1.32235	2.23145	2.1618	1.9768	1.67701	1.75272	1.42238	3.30655	3.08321	3.52253	2.90744	0	1.24808	1.46495	2.85224	1.99387	1	1	1	3	1	0	0	0
S1PR2	1	1.87146	1.07696	1.89624	1.07335	2.07472	1.71511	3.75221	3.45215	2.25204	2.62863	1.87958	1.77275	0	1.24836	1.56243	1.42114	1.53942	0	1	1	8	6	5	0	0
HCRTR1	1	1.20417	1.32235	1.89624	1.07335	3.13953	2.95953	1.73829	1.67939	1.42697	1.73632	1.9861	2.64942	1	1.24808	1.46495	1.42114	1.53942	1	1	2	8	14	4	0	0
HTR1E	0	1.20417	1.32235	1.10324	1.08184	1.79446	2.21495	1.75272	1.42238	1.42697	1.73632	1.25028	2.0304	1	1.24808	1.46495	1.42114	1.53942	0	0	4	2	1	0	0	0
AGTR1	1	1.87146	1.07696	1.89624	1.07335	1.9768	1.67701	1.73829	1.67939	1.53461	1.46916	1.25028	2.0304	0	3.50013	3.17441	1.39616	2.73422	1	1	4	6	9	2	3	0
HCRTR2	1	1.20417	1.32235	1.89624	1.07335	3.13953	2.95953	1.73829	1.67939	1.42697	1.73632	1.87958	1.77275	1	2.05672	1.18842	1.42114	1.53942	1	1	4	8	10	3	0	0
LPAR6	0	2.70665	2.3626	1.10324	1.08184	1.9768	1.67701	1.75272	1.42238	1.42697	1.73632	1.87958	1.77275	0	3.50013	3.17441	2.4513	2.36036	1	1	2	2	7	2	1	0
HTR1A	1	1.20417	1.32235	1.10324	1.08184	1.79446	2.21495	2.86045	2.86494	1.42697	1.73632	1.25028	2.0304	1	1.24808	1.46495	1.42114	1.53942	0	1	11	0	0	0	1	0
HTR1B	0	1.20417	1.32235	1.10324	1.08184	1.79446	2.21495	1.75272	1.42238	1.42697	1.73632	2.44525	2.17439	1	1.24836	1.56243	1.42114	1.53942	0	1	6	1	2	0	0	0
LPAR5	0	2.70665	2.3626	4.60569	4.0798	3.46407	3.34231	1.75272	1.42238	2.25204	2.62863	1.87958	1.77275	0	1.24808	1.46495	2.4513	2.36036	1	1	0	7	11	1	1	0
