GPCR	393neg	401bip	401bin	426bip	426bin	493bip	493bin	497bip	497bin	535bip	535bin	654bip	654bin	656bip	656bin	675neg	925bip	925bin	928bip	928bin	966neg	967neg	1000bip	1000bin	CTLL	K_TIL	G_CTL	L_CTL	S_CTL	V_CTL	Y_CTL	O
OPRL1	1	1.63151	1.23241	1.2306	1.29435	2.38182	3.68506	2.02813	1.65196	1.78581	1.6331	1.7867	1.69306	3.32873	2.47194	0	4.60464	4.21388	2.81544	1.9746	1	1	1.42711	1.30575	51	1	0	3	4	5	0	0
FPR1	1	2.92742	3.26992	3.65692	3.61611	1.89795	1.07251	2.58491	2.56313	4.29607	3.85672	1.48601	1.50767	2.09988	2.44709	0	1.27461	1.42004	3.08563	3.12777	1	1	3.70229	3.10064	49	2	1	6	5	2	0	0
CHRM5	1	2.29514	1.78288	1.77154	1.13408	1.89795	1.07251	1.96131	1.78584	1.6812	2.15312	1.7867	1.69306	2.79405	2.07857	1	2.11884	1.14143	2.81544	1.9746	0	0	1.42711	1.30575	37	23	1	6	1	1	1	0
CHRM4	1	1.63151	1.23241	1.77154	1.13408	1.89795	1.07251	1.96131	1.78584	1.6812	2.15312	1.48601	1.50767	2.79405	2.07857	1	1.27461	1.42004	2.81544	1.9746	0	0	3.32544	2.86272	26	17	1	4	0	0	1	0
CHRM3	1	2.29514	1.78288	1.77154	1.13408	1.89795	1.07251	1.96131	1.78584	1.6812	2.15312	1.48601	1.50767	2.79405	2.07857	1	2.11884	1.14143	2.81544	1.9746	0	0	2.23342	1.65028	46	21	0	5	1	1	1	0
CHRM2	1	1.63151	1.23241	1.77154	1.13408	1.89795	1.07251	1.96131	1.78584	1.6812	2.15312	1.48601	1.50767	2.79405	2.07857	1	2.11884	1.14143	2.18334	2.304	0	0	3.32544	2.86272	26	20	1	3	0	0	1	0
CHRM1	1	2.29514	1.78288	1.77154	1.13408	1.89795	1.07251	1.96131	1.78584	1.6812	2.15312	1.7867	1.69306	3.52957	2.90934	1	1.27461	1.42004	2.81544	1.9746	0	0	3.70229	3.10064	42	13	1	5	2	1	0	0
NPFFR1	1	1.2512	1.34561	1.2306	1.29435	1.89795	1.07251	2.29744	2.4228	1.78581	1.6331	1.46751	1.69455	1.82003	1.8025	1	1.27461	1.42004	1.42008	1.54274	1	1	1.42711	1.30575	101	0	13	9	10	5	2	0
HTR1D	0	1.63151	1.23241	1.2306	1.29435	1.1079	1.09432	1.79356	2.22515	1.69706	1.45543	1.46751	1.69455	2.44577	2.17537	1	2.11884	1.14143	1.42008	1.54274	0	1	1.42711	1.30575	21	4	0	0	1	2	0	0
OPRM1	1	1.63151	1.23241	1.2306	1.29435	1.1079	1.09432	1.79356	2.22515	4.59371	4.09297	1.48601	1.50767	2.79405	2.07857	0	1.22316	1.58643	2.81544	1.9746	1	1	2.23342	1.65028	62	3	0	4	4	1	0	0
TACR2	1	1.63151	1.23241	1.2306	1.29435	1.1079	1.09432	2.02813	1.65196	1.78581	1.6331	1.7867	1.69306	3.39139	2.97843	1	2.11884	1.14143	1.42008	1.54274	1	1	1.42711	1.30575	91	0	8	9	6	3	1	0
MTNR1B	1	1.2512	1.34561	1.77154	1.13408	1.89795	1.07251	2.02813	1.65196	1.78581	1.6331	1.7867	1.69306	3.32873	2.47194	0	2.11884	1.14143	2.18334	2.304	1	1	1.42711	1.30575	54	3	4	7	3	1	1	0
FFAR3	0	2.29514	1.78288	1.77154	1.13408	2.93907	3.22001	2.58491	2.56313	3.51766	3.51431	1.48601	1.50767	3.32873	2.47194	0	1.22316	1.58643	3.71368	2.56863	1	1	2.19175	2.69385	70	0	9	5	8	1	1	0
MTNR1A	1	1.2512	1.34561	1.8702	2.53095	1.1079	1.09432	2.02813	1.65196	1.78581	1.6331	1.48601	1.50767	2.44577	2.17537	1	2.11884	1.14143	2.18334	2.304	1	1	1.42711	1.30575	55	4	1	4	5	9	1	0
F2RL1	0	2.29514	1.78288	2.82129	2.27089	1.1079	1.09432	2.02813	1.65196	1.78581	1.6331	1.46751	1.69455	2.09988	2.44709	0	2.11884	1.14143	2.81544	1.9746	1	1	2.19175	2.69385	13	6	0	0	6	1	2	0
P2RY4	0	2.29514	1.78288	2.82129	2.27089	1.89795	1.07251	2.02813	1.65196	1.69706	1.45543	1.7867	1.69306	1.24991	2.03777	0	1.22316	1.58643	2.44965	2.36767	1	1	2.23342	1.65028	59	0	4	8	8	1	1	0
NMUR2	1	1.63151	1.23241	1.77154	1.13408	1.1079	1.09432	2.02813	1.65196	1.69706	1.45543	1.7867	1.69306	3.32873	2.47194	0	2.11884	1.14143	2.18334	2.304	1	1	1.42711	1.30575	88	3	1	7	11	2	1	0
NMUR1	1	1.63151	1.23241	1.77154	1.13408	1.89795	1.07251	2.02813	1.65196	1.69706	1.45543	1.48601	1.50767	3.32873	2.47194	1	2.11884	1.14143	2.18334	2.304	1	1	2.23342	1.65028	70	1	6	8	11	2	0	0
BDKRB2	1	2.29514	1.78288	1.77154	1.13408	1.1079	1.09432	3.46944	3.34447	1.78581	1.6331	1.7867	1.69306	2.79405	2.07857	0	2.11884	1.14143	1.42008	1.54274	1	1	1.33106	1.76423	59	2	6	2	6	5	1	0
APLNR	1	1.2512	1.34561	1.2306	1.29435	1.89795	1.07251	2.02813	1.65196	2.21448	2.23833	1.48601	1.50767	1.24991	2.03777	0	1.27461	1.42004	3.54954	2.86728	1	1	2.19175	2.69385	71	2	9	2	13	2	2	0
DRD4	1	1.2512	1.34561	1.2306	1.29435	1.1079	1.09432	1.79356	2.22515	2.86215	2.86458	1.46751	1.69455	1.24991	2.03777	0	1.27461	1.42004	2.81544	1.9746	0	0	2.23342	1.65028	19	2	0	1	0	2	0	0
DRD2	1	1.2512	1.34561	1.2306	1.29435	1.1079	1.09432	1.79356	2.22515	1.69706	1.45543	1.7867	1.69306	1.24991	2.03777	1	2.11884	1.14143	1.42008	1.54274	0	0	1.42711	1.30575	17	14	0	2	0	0	0	0
DRD3	1	1.2512	1.34561	1.8702	2.53095	1.1079	1.09432	1.79356	2.22515	1.69706	1.45543	1.7867	1.69306	1.82003	1.8025	1	1.22316	1.58643	1.42008	1.54274	0	0	2.23342	1.65028	17	8	0	2	1	0	0	0
GALR3	1	1.70607	2.03855	1.2306	1.29435	3.34639	3.68676	2.58491	2.56313	1.69706	1.45543	1.7867	1.69306	3.32873	2.47194	0	1.27461	1.42004	3.71368	2.56863	1	1	1.33106	1.76423	77	0	13	5	4	2	0	0
F2R	0	2.29514	1.78288	2.82129	2.27089	1.1079	1.09432	2.02813	1.65196	1.78581	1.6331	1.48601	1.50767	2.79405	2.07857	0	2.11884	1.14143	3.71368	2.56863	1	1	1.33106	1.76423	54	1	1	5	13	1	6	0
GALR1	1	1.70607	2.03855	1.2306	1.29435	1.1079	1.09432	2.58491	2.56313	1.78581	1.6331	1.46751	1.69455	3.52957	2.90934	0	2.11884	1.14143	1.42008	1.54274	0	1	1.42711	1.30575	46	5	0	2	6	2	1	0
P2RY13	0	2.29514	1.78288	1.77154	1.13408	1.1079	1.09432	3.93628	2.97149	1.78581	1.6331	1.46751	1.69455	1.24991	2.03777	1	1.22316	1.58643	2.18334	2.304	1	1	1.33106	1.76423	58	4	2	6	4	0	1	0
SSTR5	1	1.2512	1.34561	1.2306	1.29435	1.89795	1.07251	2.02813	1.65196	1.6812	2.15312	1.7867	1.69306	3.52957	2.90934	0	4.60464	4.21388	1.42008	1.54274	1	1	2.23342	1.65028	60	0	4	5	4	1	0	0
OPRD1	1	1.63151	1.23241	1.2306	1.29435	1.1079	1.09432	2.02813	1.65196	1.78581	1.6331	1.48601	1.50767	2.79405	2.07857	0	1.22316	1.58643	2.18334	2.304	1	1	2.23342	1.65028	54	2	5	2	4	1	0	0
NPBWR1	1	1.70607	2.03855	1.2306	1.29435	2.20735	2.1381	2.02813	1.65196	1.69706	1.45543	3.31849	3.08373	3.52957	2.90934	0	1.27461	1.42004	2.81544	1.9746	1	1	2.19175	2.69385	21	1	0	3	1	0	0	0
S1PR2	1	1.2512	1.34561	1.77154	1.13408	1.89795	1.07251	1.96131	1.78584	3.75726	3.45032	2.24709	2.62738	1.82003	1.8025	0	1.22316	1.58643	1.42008	1.54274	0	1	2.23342	1.65028	65	1	8	8	6	5	0	0
HCRTR1	1	1.2512	1.34561	1.2306	1.29435	1.89795	1.07251	3.14841	2.9607	1.78581	1.6331	1.46751	1.69455	2.09988	2.44709	1	1.27461	1.42004	1.42008	1.54274	1	1	1.42711	1.30575	67	2	4	8	14	4	0	0
HTR1E	0	1.63151	1.23241	1.2306	1.29435	1.1079	1.09432	1.79356	2.22515	1.69706	1.45543	1.46751	1.69455	1.24991	2.03777	1	1.27461	1.42004	1.42008	1.54274	0	0	1.33106	1.76423	21	4	0	2	1	0	0	0
AGTR1	1	1.63151	1.23241	1.77154	1.13408	1.89795	1.07251	2.02813	1.65196	1.78581	1.6331	1.48601	1.50767	1.24991	2.03777	0	3.32853	3.45694	1.39757	2.73387	1	1	1.33106	1.76423	57	4	2	6	9	2	3	0
HCRTR2	1	1.2512	1.34561	1.2306	1.29435	1.89795	1.07251	3.14841	2.9607	1.78581	1.6331	1.46751	1.69455	1.82003	1.8025	1	2.11884	1.14143	1.42008	1.54274	1	1	1.42711	1.30575	80	4	5	8	10	3	0	0
LPAR6	0	2.29514	1.78288	2.82129	2.27089	1.1079	1.09432	2.02813	1.65196	1.69706	1.45543	1.46751	1.69455	1.82003	1.8025	0	3.32853	3.45694	2.44965	2.36767	1	1	1.42711	1.30575	53	2	1	2	7	2	1	0
HTR1A	1	1.63151	1.23241	1.2306	1.29435	1.1079	1.09432	1.79356	2.22515	2.86215	2.86458	1.46751	1.69455	1.24991	2.03777	1	1.27461	1.42004	1.42008	1.54274	0	1	2.23342	1.65028	22	11	0	0	0	0	1	0
HTR1B	0	1.2512	1.34561	1.2306	1.29435	1.1079	1.09432	1.79356	2.22515	1.69706	1.45543	1.46751	1.69455	2.44577	2.17537	1	1.22316	1.58643	1.42008	1.54274	0	1	1.42711	1.30575	21	6	0	1	2	0	0	0
LPAR5	0	2.29514	1.78288	2.82129	2.27089	4.60966	4.07835	3.46944	3.34447	1.69706	1.45543	2.24709	2.62738	1.82003	1.8025	0	1.27461	1.42004	2.44965	2.36767	1	1	1.33106	1.76423	75	0	5	7	11	1	1	0
