GPCR	393pos	398bip	398bin	401bip	401bin	507bip	507bin	535bip	535bin	658bip	658bin	662bip	662bin	674pos	885pos	886pos	887pos	888pos	967pos	998bip	998bin	1000bip	1000bin	1002pos	G_TIL	N_TIL	G_CTL	L_CTL	P_CTL	Q_CTL	R_CTL	S_CTL	O
HTR1F	0	1.41812	0.93938	1.35517	1.36726	0.78368	1.0921	1.6359	1.1165	1.58598	1.97877	0.74365	1.80905	1	1	1	1	1	0	0.42184	1.10673	1.79109	1.3388	1	3	1	0	1	0	1	2	0	1
HTR1A	1	2.02879	2.28684	1.35517	1.36726	0.78368	1.0921	2.74052	3.88258	1.58598	1.97877	0.74365	1.80905	1	1	1	1	1	1	0.42184	1.10673	1.74798	2.13053	1	12	6	0	0	0	2	1	0	1
HTR1B	0	1.41812	0.93938	1.34305	1.80614	0.78368	1.0921	1.6359	1.1165	1.58598	1.97877	0.74365	1.80905	1	1	1	1	1	1	0.42184	1.10673	1.25522	1.60086	1	3	3	0	1	0	1	1	2	1
PTGFR	0	5.6492	5.89178	5.57557	5.67631	1.02538	1.06917	1.6359	1.1165	2.05415	1.13232	2.60871	2.68693	0	1	1	1	1	1	1.68812	0.72625	3.88102	1.60601	1	1	0	1	8	1	1	1	9	0
AVPR1A	1	1.29917	1.30838	2.01542	1.34049	1.02538	1.06917	1.96056	2.14272	2.05415	1.13232	0.74365	1.80905	1	0	0	1	1	1	0.42184	1.10673	3.88102	1.60601	1	4	1	2	2	4	4	3	12	0
KISS1R	1	1.41812	0.93938	1.35517	1.36726	3.6309	3.40774	1.60939	1.62111	2.05415	1.13232	2.34022	2.58002	1	1	1	1	1	1	0.42184	1.10673	1.79109	1.3388	1	3	0	7	8	12	2	12	5	0
FFAR2	0	1.29917	1.30838	1.9439	2.09205	1.02538	1.06917	1.96056	2.14272	2.05415	1.13232	3.97674	3.15046	0	0	0	0	0	0	1.68812	0.72625	1.79109	1.3388	0	1	0	10	4	1	3	7	7	0
GPR55	0	5.6492	5.89178	5.57557	5.67631	0.78368	1.0921	1.60939	1.62111	2.05415	1.13232	4.14522	2.44366	0	0	0	0	0	1	1.68812	0.72625	2.30958	3.02864	1	1	0	1	2	1	2	5	2	0
PTGDR	0	5.6492	5.89178	5.57557	5.67631	2.66959	1.81455	1.6359	1.1165	2.05415	1.13232	3.54795	2.7416	1	1	1	1	1	1	1.68812	0.72625	3.88102	1.60601	0	1	0	0	2	2	0	6	6	0
P2RY1	1	1.41812	0.93938	1.9439	2.09205	1.02538	1.06917	1.6359	1.1165	2.05415	1.13232	0.74365	1.80905	0	0	0	0	0	1	1.68812	0.72625	1.25522	1.60086	1	0	1	2	6	1	2	7	6	0
PTGER4	1	1.41812	0.93938	2.01542	1.34049	0.78368	1.0921	1.6359	1.1165	2.05415	1.13232	2.17282	1.39415	1	1	1	1	1	1	1.68812	0.72625	3.88102	1.60601	1	3	0	16	21	7	7	12	28	0
PTGER1	0	5.6492	5.89178	5.57557	5.67631	1.02538	1.06917	1.96056	2.14272	2.05415	1.13232	4.14522	2.44366	1	1	1	1	1	0	1.68812	0.72625	3.88102	1.60601	1	6	0	6	11	4	2	6	7	0
PTGER2	0	5.6492	5.89178	5.57557	5.67631	0.78368	1.0921	1.60939	1.62111	2.05415	1.13232	2.17282	1.39415	1	1	1	1	1	1	1.68812	0.72625	3.88102	1.60601	0	7	0	0	6	2	4	5	6	0
P2RY13	0	1.29917	1.30838	1.9439	2.09205	0.78368	1.0921	1.60939	1.62111	2.34203	3.1193	0.74365	1.80905	1	0	0	0	0	1	1.68812	0.72625	1.79109	1.3388	1	0	1	2	6	2	3	1	4	0
MC1R	1	2.02879	2.28684	1.35517	1.36726	0.78368	1.0921	1.60939	1.62111	1.58598	1.97877	2.34022	2.58002	1	1	1	1	1	1	1.68812	0.72625	1.79109	1.3388	1	2	0	0	3	0	1	2	2	0
PTGIR	1	1.29917	1.30838	2.01542	1.34049	2.66959	1.81455	1.60939	1.62111	2.05415	1.13232	2.17282	1.39415	1	1	1	1	1	1	1.68812	0.72625	3.88102	1.60601	0	3	0	9	10	9	6	5	13	0
HTR6	0	1.41812	0.93938	1.35517	1.36726	0.78368	1.0921	1.96056	2.14272	2.50317	2.98427	0.74365	1.80905	1	1	1	1	1	0	0.42184	1.10673	1.25522	1.60086	1	2	0	9	18	20	5	11	12	0
P2RY2	0	1.29917	1.30838	1.9439	2.09205	1.02538	1.06917	1.6359	1.1165	2.05415	1.13232	2.34022	2.58002	1	0	0	0	0	1	1.68812	0.72625	1.74798	2.13053	1	3	0	5	6	6	2	13	7	0
FFAR1	0	1.41812	0.93938	3.08252	2.83911	4.12387	3.01829	1.60939	1.62111	2.05415	1.13232	4.87416	3.32399	0	0	0	0	0	0	7.51511	7.40216	5.28109	5.61684	0	1	0	10	8	3	2	3	3	0
P2RY6	0	1.41812	0.93938	1.35517	1.36726	0.78368	1.0921	1.6359	1.1165	2.05415	1.13232	2.43009	2.45045	0	0	0	1	1	1	1.68812	0.72625	1.25522	1.60086	0	1	0	1	3	1	4	5	0	0
TBXA2R	0	1.29917	1.30838	2.01542	1.34049	0.78368	1.0921	1.6359	1.1165	1.58598	1.97877	4.14522	2.44366	0	1	1	1	1	1	1.68812	0.72625	3.88102	1.60601	1	1	0	1	8	3	5	8	4	0
ADRA1A	1	1.41812	0.93938	1.34305	1.80614	1.02538	1.06917	1.6359	1.1165	3.27976	2.31606	2.17282	1.39415	1	1	1	1	1	0	0.42184	1.10673	1.25522	1.60086	1	5	1	7	7	8	9	9	19	0
NMUR1	1	2.48695	3.46138	1.35517	1.36726	1.02538	1.06917	1.6359	1.1165	1.58598	1.97877	0.74365	1.80905	1	1	1	1	1	1	0.42184	1.10673	1.74798	2.13053	1	3	0	6	8	4	3	6	11	0
ADRA1B	1	1.41812	0.93938	1.34305	1.80614	1.02538	1.06917	1.6359	1.1165	3.27976	2.31606	2.17282	1.39415	1	1	1	1	1	0	0.42184	1.10673	1.25522	1.60086	1	2	4	24	15	20	5	22	18	0
ADRA1D	1	1.41812	0.93938	1.34305	1.80614	1.02538	1.06917	2.1436	2.61042	3.27976	2.31606	2.17282	1.39415	1	1	1	1	1	0	0.42184	1.10673	1.79109	1.3388	1	7	0	10	15	18	7	25	14	0
AVPR2	0	1.29917	1.30838	2.01542	1.34049	0.78368	1.0921	1.96056	2.14272	2.05415	1.13232	0.74365	1.80905	1	1	1	1	1	0	7.51511	7.40216	5.28109	5.61684	0	7	0	3	11	6	1	3	16	0
ADRB1	1	1.41812	0.93938	1.35517	1.36726	0.78368	1.0921	1.6359	1.1165	2.25519	2.09407	2.17282	1.39415	1	1	1	1	1	0	0.42184	1.10673	1.25522	1.60086	1	5	1	9	6	12	1	13	9	0
ADRB2	1	1.41812	0.93938	1.35517	1.36726	0.78368	1.0921	1.6359	1.1165	2.25519	2.09407	2.17282	1.39415	1	1	1	1	1	0	0.42184	1.10673	1.79109	1.3388	1	4	1	9	9	3	5	5	10	0
ADRB3	1	1.41812	0.93938	1.35517	1.36726	1.02538	1.06917	1.6359	1.1165	2.25519	2.09407	2.17282	1.39415	1	1	1	1	1	0	0.42184	1.10673	1.79109	1.3388	1	5	0	4	6	9	2	11	7	0
GPR174	1	1.29917	1.30838	1.9439	2.09205	2.66959	1.81455	3.68741	1.89148	2.05415	1.13232	2.60871	2.68693	0	0	0	0	0	1	1.68812	0.72625	1.74798	2.13053	1	1	0	0	4	1	2	4	6	0
